"Date","Clicks","Impressions","Avg. CTR"
"4/2/2026 12:00:00 AM","0","0","0"
"4/3/2026 12:00:00 AM","2","50","4"
"4/4/2026 12:00:00 AM","0","19","0"
"4/5/2026 12:00:00 AM","0","34","0"
"4/6/2026 12:00:00 AM","4","85","4.71"
"4/7/2026 12:00:00 AM","1","81","1.23"
"4/8/2026 12:00:00 AM","1","138","0.72"
"4/9/2026 12:00:00 AM","0","166","0"
"4/10/2026 12:00:00 AM","1","210","0.48"
"4/11/2026 12:00:00 AM","1","89","1.12"
"4/12/2026 12:00:00 AM","0","98","0"
"4/13/2026 12:00:00 AM","1","168","0.6"
"4/14/2026 12:00:00 AM","2","143","1.4"
"4/15/2026 12:00:00 AM","0","114","0"
"4/16/2026 12:00:00 AM","2","124","1.61"
"4/17/2026 12:00:00 AM","1","138","0.72"
"4/18/2026 12:00:00 AM","1","45","2.22"
"4/19/2026 12:00:00 AM","4","106","3.77"
"4/20/2026 12:00:00 AM","4","348","1.15"
"4/21/2026 12:00:00 AM","4","408","0.98"
"4/22/2026 12:00:00 AM","3","349","0.86"
"4/23/2026 12:00:00 AM","3","665","0.45"
"4/24/2026 12:00:00 AM","6","541","1.11"
"4/25/2026 12:00:00 AM","3","189","1.59"
"4/26/2026 12:00:00 AM","4","152","2.63"
"4/27/2026 12:00:00 AM","5","533","0.94"
"4/28/2026 12:00:00 AM","0","0","0"
"4/29/2026 12:00:00 AM","0","0","0"
"4/30/2026 12:00:00 AM","0","0","0"
"5/1/2026 12:00:00 AM","0","0","0"
"5/2/2026 12:00:00 AM","0","0","0"
"5/3/2026 12:00:00 AM","0","0","0"
"5/4/2026 12:00:00 AM","0","0","0"
"5/5/2026 12:00:00 AM","0","0","0"
"5/6/2026 12:00:00 AM","0","0","0"
"5/7/2026 12:00:00 AM","0","0","0"
"5/8/2026 12:00:00 AM","0","0","0"
"5/9/2026 12:00:00 AM","0","0","0"
"5/10/2026 12:00:00 AM","0","0","0"
"5/11/2026 12:00:00 AM","0","0","0"
"5/12/2026 12:00:00 AM","0","0","0"
"5/13/2026 12:00:00 AM","0","0","0"
"5/14/2026 12:00:00 AM","0","0","0"
"5/15/2026 12:00:00 AM","0","0","0"
"5/16/2026 12:00:00 AM","0","0","0"
"5/17/2026 12:00:00 AM","0","0","0"
"5/18/2026 12:00:00 AM","0","0","0"
"5/19/2026 12:00:00 AM","0","0","0"
"5/20/2026 12:00:00 AM","0","0","0"
"5/21/2026 12:00:00 AM","0","0","0"
"5/22/2026 12:00:00 AM","0","0","0"
"5/23/2026 12:00:00 AM","0","0","0"
"5/24/2026 12:00:00 AM","0","0","0"
"5/25/2026 12:00:00 AM","0","0","0"
"5/26/2026 12:00:00 AM","0","0","0"
"5/27/2026 12:00:00 AM","0","0","0"
"5/28/2026 12:00:00 AM","0","0","0"
"5/29/2026 12:00:00 AM","0","0","0"
"5/30/2026 12:00:00 AM","0","0","0"
"5/31/2026 12:00:00 AM","0","0","0"
"6/1/2026 12:00:00 AM","0","0","0"
"6/2/2026 12:00:00 AM","0","0","0"
"6/3/2026 12:00:00 AM","0","0","0"
"6/4/2026 12:00:00 AM","0","0","0"
"6/5/2026 12:00:00 AM","0","0","0"
"6/6/2026 12:00:00 AM","0","0","0"
"6/7/2026 12:00:00 AM","0","1","0"
"6/8/2026 12:00:00 AM","0","0","0"
"6/9/2026 12:00:00 AM","0","0","0"
"6/10/2026 12:00:00 AM","0","0","0"
"6/11/2026 12:00:00 AM","0","0","0"
"6/12/2026 12:00:00 AM","0","0","0"
"6/13/2026 12:00:00 AM","0","0","0"
"6/14/2026 12:00:00 AM","0","0","0"
"6/15/2026 12:00:00 AM","0","0","0"
"6/16/2026 12:00:00 AM","0","0","0"
"6/17/2026 12:00:00 AM","0","0","0"
"6/18/2026 12:00:00 AM","0","0","0"
"6/19/2026 12:00:00 AM","0","0","0"
"6/20/2026 12:00:00 AM","0","0","0"
"6/21/2026 12:00:00 AM","0","0","0"
"6/22/2026 12:00:00 AM","0","0","0"
"6/23/2026 12:00:00 AM","0","0","0"
"6/24/2026 12:00:00 AM","0","0","0"
"6/25/2026 12:00:00 AM","0","0","0"
"6/26/2026 12:00:00 AM","0","0","0"
"6/27/2026 12:00:00 AM","0","0","0"
"6/28/2026 12:00:00 AM","0","0","0"
"6/29/2026 12:00:00 AM","0","0","0"
"6/30/2026 12:00:00 AM","0","0","0"
"7/1/2026 12:00:00 AM","0","0","0"
"7/2/2026 12:00:00 AM","0","0","0"
"7/3/2026 12:00:00 AM","0","0","0"
"7/4/2026 12:00:00 AM","0","0","0"
"7/5/2026 12:00:00 AM","0","0","0"
"7/6/2026 12:00:00 AM","0","0","0"
"7/7/2026 12:00:00 AM","0","0","0"
