Country,"2026-05-20--2026-06-19_Avg position","2026-04-19--2026-05-19_Avg position",2026-05-20--2026-06-19_Clicks,2026-04-19--2026-05-19_Clicks,2026-05-20--2026-06-19_Impressions,2026-04-19--2026-05-19_Impressions,2026-05-20--2026-06-19_CTR,2026-04-19--2026-05-19_CTR
"United States of America",43.29,,8,,35922,,0.02,
"United Kingdom of Great Britain and Northern Ireland",51.22,,0,,477,,0,
Canada,21.28,,0,,231,,0,
India,43.94,,0,,176,,0,
Brazil,17.44,,0,,116,,0,
Philippines,46.66,,0,,96,,0,
Indonesia,42.76,,0,,80,,0,
Argentina,28.13,,0,,47,,0,
Vietnam,36.45,,0,,44,,0,
Colombia,38.98,,0,,42,,0,
"Republic of Korea",49.66,,0,,35,,0,
France,13.22,,0,,32,,0,
Netherlands,38.41,,0,,32,,0,
Spain,30.13,,0,,30,,0,
Australia,46.37,,0,,27,,0,
Italy,29.78,,0,,27,,0,
Türkiye,19.7,,0,,27,,0,
Germany,35.04,,0,,26,,0,
Mexico,21.12,,0,,26,,0,
Bangladesh,37.28,,0,,25,,0,
Chile,29.86,,0,,22,,0,
"Russian Federation",36.5,,0,,22,,0,
Algeria,39.2,,0,,20,,0,
Egypt,49.47,,0,,19,,0,
Iraq,18.69,,0,,16,,0,
Pakistan,41.25,,0,,16,,0,
Peru,37.19,,0,,16,,0,
Ireland,44.93,,0,,15,,0,
Malaysia,35.43,,0,,14,,0,
Poland,23.43,,0,,14,,0,
Ukraine,16.21,,0,,14,,0,
Ecuador,30.75,,0,,12,,0,
Japan,32.67,,0,,12,,0,
"Saudi Arabia",24.58,,0,,12,,0,
Morocco,13.82,,0,,11,,0,
"Venezuela (Bolivarian Republic of)",22.64,,0,,11,,0,
"South Africa",32.91,,0,,11,,0,
China,20.5,,0,,10,,0,
"Bolivia (Plurinational State of)",24.89,,0,,9,,0,
Israel,23.11,,0,,9,,0,
Belarus,34,,0,,8,,0,
Botswana,22,,0,,8,,0,
Ethiopia,24,,0,,8,,0,
Iceland,50.38,,0,,8,,0,
Belgium,11.86,,0,,7,,0,
"Costa Rica",16.57,,0,,7,,0,
Guatemala,50.86,,0,,7,,0,
Portugal,19.86,,0,,7,,0,
Tunisia,8.57,,0,,7,,0,
Taiwan,48.71,,0,,7,,0,
Estonia,49.83,,0,,6,,0,
Nigeria,28.83,,0,,6,,0,
Paraguay,19.83,,0,,6,,0,
Austria,28.4,,0,,5,,0,
Bulgaria,28.4,,0,,5,,0,
Switzerland,36.6,,0,,5,,0,
"Dominican Republic",45.6,,0,,5,,0,
Greece,54.2,,0,,5,,0,
"China, Hong Kong Special Administrative Region",35.4,,0,,5,,0,
Jamaica,10.8,,0,,5,,0,
"New Zealand",56,,0,,5,,0,
Czechia,27.5,,0,,4,,0,
Georgia,37.75,,0,,4,,0,
"Iran (Islamic Republic of)",20.75,,0,,4,,0,
Luxembourg,39.5,,0,,4,,0,
Nepal,59.25,,0,,4,,0,
Panama,9,,0,,4,,0,
"State of Palestine",27.25,,0,,4,,0,
Thailand,38.5,,0,,4,,0,
Uzbekistan,16.5,,0,,4,,0,
Andorra,57,,0,,3,,0,
"United Arab Emirates",27.67,,0,,3,,0,
"Cote D'Ivoire",43.33,,0,,3,,0,
Guinea-Bissau,19,,0,,3,,0,
Honduras,18.67,,0,,3,,0,
Hungary,42.33,,0,,3,,0,
Kazakhstan,32.67,,0,,3,,0,
Cambodia,37.33,,0,,3,,0,
Lesotho,15.33,,0,,3,,0,
Lithuania,47,,0,,3,,0,
Singapore,28.33,,0,,3,,0,
Serbia,20.33,,0,,3,,0,
Uruguay,4,,0,,3,,0,
Aruba,5,,0,,2,,0,
Albania,26.5,,0,,2,,0,
Azerbaijan,28,,0,,2,,0,
Bahamas,22,,0,,2,,0,
Belize,62.5,,0,,2,,0,
Barbados,8.5,,0,,2,,0,
Cuba,27.5,,0,,2,,0,
Ghana,48.5,,0,,2,,0,
Guyana,60,,0,,2,,0,
Jordan,45,,0,,2,,0,
Kenya,20.5,,0,,2,,0,
Kyrgyzstan,24.5,,0,,2,,0,
Kuwait,40.5,,0,,2,,0,
Lebanon,6,,0,,2,,0,
Latvia,51,,0,,2,,0,
Malta,19.5,,0,,2,,0,
Oman,87.5,,0,,2,,0,
"Puerto Rico",20.5,,0,,2,,0,
Romania,8.5,,0,,2,,0,
Senegal,3.5,,0,,2,,0,
"El Salvador",48,,0,,2,,0,
Zambia,16.5,,0,,2,,0,
"Unknown region",37.5,,0,,2,,0,
Armenia,39,,0,,1,,0,
Benin,42,,0,,1,,0,
"Burkina Faso",39,,0,,1,,0,
Bahrain,46,,0,,1,,0,
"Democratic Republic of the Congo",47,,0,,1,,0,
Congo,3,,0,,1,,0,
Cyprus,5,,0,,1,,0,
Croatia,72,,0,,1,,0,
Haiti,9,,0,,1,,0,
"Republic of Moldova",3,,0,,1,,0,
"North Macedonia",9,,0,,1,,0,
Myanmar,4,,0,,1,,0,
Mongolia,5,,0,,1,,0,
Norway,12,,0,,1,,0,
"Papua New Guinea",10,,0,,1,,0,
Reunion,18,,0,,1,,0,
Rwanda,31,,0,,1,,0,
"Solomon Islands",73,,0,,1,,0,
Sweden,43,,0,,1,,0,
"Syrian Arab Republic",4,,0,,1,,0,
"Trinidad and Tobago",1,,0,,1,,0,
Zimbabwe,26,,0,,1,,0,
