Date,"Compare date","Avg position","Compare avg position",Clicks,"Compare clicks",Impressions,"Compare impressions",CTR,"Compare CTR"
"May-29 2026","Apr-19 2026",44.24,36.03,0,1,2196,1920,0,0.05
"May-30 2026","Apr-20 2026",40.11,31.55,0,4,2091,1272,0,0.31
"May-27 2026","Apr-21 2026",51.03,30.35,0,1,1855,1285,0,0.08
"May-28 2026","Apr-22 2026",42.79,43.35,0,4,1823,908,0,0.44
"Jun-13 2026","Apr-23 2026",30.46,36.34,0,1,1718,814,0,0.12
"Jun-14 2026","Apr-24 2026",37.29,40.87,0,1,1640,572,0,0.17
"Jun-11 2026","Apr-25 2026",26.64,45.51,0,1,1531,542,0,0.18
"Jun-15 2026","Apr-26 2026",34.94,51.3,1,0,1508,460,0.07,0
"May-24 2026","Apr-27 2026",42.37,48.66,0,0,1366,462,0,0
"Jun-16 2026","Apr-28 2026",41.75,36.16,1,0,1356,486,0.07,0
"Jun-18 2026","Apr-29 2026",37.98,38.05,0,2,1346,594,0,0.34
"May-31 2026","Apr-30 2026",52.8,22.06,0,1,1305,1164,0,0.09
"Jun-17 2026","May-01 2026",37.46,24.08,1,2,1294,1134,0.08,0.18
"Jun-19 2026","May-02 2026",32.21,17.93,1,1,1198,1535,0.08,0.07
"Jun-12 2026","May-03 2026",38.18,16.16,0,0,1188,1551,0,0
"Jun-10 2026","May-04 2026",37.11,18.35,0,1,1172,1267,0,0.08
"May-25 2026","May-05 2026",40.28,20.67,0,0,1170,1083,0,0
"May-21 2026","May-06 2026",49.98,20.74,0,1,1107,1250,0,0.08
"May-20 2026","May-07 2026",46.56,23.79,0,3,1102,1112,0,0.27
"Jun-09 2026","May-08 2026",33.19,21,1,2,1027,1018,0.1,0.2
"May-22 2026","May-09 2026",58.1,27.21,0,0,1017,940,0,0
"May-26 2026","May-10 2026",49.87,17.85,1,0,1003,1287,0.1,0
"Jun-07 2026","May-11 2026",50.1,23.32,0,0,956,1159,0,0
"Jun-01 2026","May-12 2026",53.17,28.34,1,0,909,934,0.11,0
"May-23 2026","May-13 2026",56.77,26.44,0,1,893,978,0,0.1
"Jun-02 2026","May-14 2026",46.23,36.75,0,1,796,855,0,0.12
"Jun-08 2026","May-15 2026",47.02,38.2,1,0,792,1206,0.13,0
"Jun-06 2026","May-16 2026",50.64,41.63,0,0,773,1071,0,0
"Jun-04 2026","May-17 2026",56.92,43.65,0,1,735,1313,0,0.08
"Jun-03 2026","May-18 2026",52,47.16,0,2,670,1165,0,0.17
"Jun-05 2026","May-19 2026",52.6,45.59,0,0,541,1138,0,0
