Page,"2026-05-20--2026-06-19_Avg position","2026-04-19--2026-05-19_Avg position",2026-05-20--2026-06-19_Clicks,2026-04-19--2026-05-19_Clicks,2026-05-20--2026-06-19_Impressions,2026-04-19--2026-05-19_Impressions,2026-05-20--2026-06-19_CTR,2026-04-19--2026-05-19_CTR
https://www.creditdoc.co/review/yrefy/,73.48,,0,,777,,0,
https://creditdoc.co/review/consumer-financial-services-chicago-east/,83.55,,0,,395,,0,
https://www.creditdoc.co/review/the-moody-national-bank/,61.45,,0,,298,,0,
https://creditdoc.co/review/red-canoe/,62.85,,0,,290,,0,
https://www.creditdoc.co/review/valley-first/,63.58,,0,,277,,0,
https://www.creditdoc.co/review/finance-of-america-mortgage/,68.44,,0,,218,,0,
https://www.creditdoc.co/review/nusenda/,42.91,,0,,188,,0,
https://www.creditdoc.co/categories/atm/,71.77,,0,,187,,0,
https://www.creditdoc.co/review/global-credit-union/,64.43,,0,,185,,0,
https://www.creditdoc.co/review/arrow-bank/,33.84,,0,,165,,0,
https://www.creditdoc.co/review/cfsc-checks-cashed-fairview/,56.62,,0,,156,,0,
https://creditdoc.co/review/bond-community-federal-credit-union/,11.62,,0,,150,,0,
https://creditdoc.co/review/healthnet/,75.39,,0,,146,,0,
https://www.creditdoc.co/review/midfirst-bank/,54.07,,0,,140,,0,
https://www.creditdoc.co/review/hills-bank-and-trust-company/,68.11,,0,,139,,0,
https://www.creditdoc.co/review/communitywide/,44.7,,0,,138,,0,
https://www.creditdoc.co/review/ent-credit-union/,54.53,,0,,136,,0,
https://www.creditdoc.co/review/future-home-loans/,55.58,,0,,134,,0,
https://www.creditdoc.co/review/bankfirst-financial-services/,52.51,,0,,129,,0,
https://www.creditdoc.co/review/fremont-bank/,48.31,,0,,126,,0,
https://www.creditdoc.co/review/first-city/,66.61,,0,,123,,0,
https://creditdoc.co/review/rockland/,53.75,,0,,122,,0,
https://www.creditdoc.co/review/credit-union-of-texas/,68.78,,0,,121,,0,
https://www.creditdoc.co/review/title-max/,54.64,,0,,121,,0,
https://www.creditdoc.co/review/auto-money-rock-hill/,45.27,,0,,113,,0,
https://www.creditdoc.co/review/community-choice/,67.87,,0,,110,,0,
https://creditdoc.co/review/gulf-winds/,35.21,,0,,109,,0,
https://www.creditdoc.co/review/pursuit/,22.1,,0,,109,,0,
https://www.creditdoc.co/review/pawn-now-mesa/,77.76,,0,,103,,0,
https://www.creditdoc.co/review/vigo-atlanta/,3.03,,0,,103,,0,
https://www.creditdoc.co/browse/pawn-shops/san-diego-ca/,77.72,,0,,95,,0,
https://www.creditdoc.co/review/sun-loan/,39.36,,0,,94,,0,
