BASE_URL=http://127.0.0.1:8788
WARM_RUNS=3  SLUGS=19

slug,route,phase,run,http,ttfb_ms,total_ms,bytes
affirm,/r/affirm,cold,1,200,119.3,119.4,1096
affirm,/r/affirm,warm,1,200,48.7,48.9,1096
affirm,/r/affirm,warm,2,200,42.6,42.9,1096
affirm,/r/affirm,warm,3,200,35.9,36.0,1096
affirm,/api/lender/affirm,cold,1,200,38.5,38.5,236
affirm,/api/lender/affirm,warm,1,200,40.2,40.3,236
affirm,/api/lender/affirm,warm,2,200,38.1,38.1,236
affirm,/api/lender/affirm,warm,3,200,38.9,39.0,236
axos-bank,/r/axos-bank,cold,1,200,45.8,45.9,1110
axos-bank,/r/axos-bank,warm,1,200,43.4,43.6,1110
axos-bank,/r/axos-bank,warm,2,200,39.0,39.1,1110
axos-bank,/r/axos-bank,warm,3,200,37.9,38.0,1110
axos-bank,/api/lender/axos-bank,cold,1,200,39.9,40.0,238
axos-bank,/api/lender/axos-bank,warm,1,200,41.6,41.6,238
axos-bank,/api/lender/axos-bank,warm,2,200,38.3,38.4,238
axos-bank,/api/lender/axos-bank,warm,3,200,37.8,37.9,238
brigit,/r/brigit,cold,1,200,38.2,38.2,1096
brigit,/r/brigit,warm,1,200,42.7,42.8,1096
brigit,/r/brigit,warm,2,200,36.7,36.8,1096
brigit,/r/brigit,warm,3,200,37.5,37.6,1096
brigit,/api/lender/brigit,cold,1,200,38.9,38.9,236
brigit,/api/lender/brigit,warm,1,200,41.8,41.9,236
brigit,/api/lender/brigit,warm,2,200,35.0,35.1,236
brigit,/api/lender/brigit,warm,3,200,38.4,38.5,236
credit-glory,/r/credit-glory,cold,1,200,40.5,40.6,1137
credit-glory,/r/credit-glory,warm,1,200,43.1,43.3,1137
credit-glory,/r/credit-glory,warm,2,200,39.4,39.5,1137
credit-glory,/r/credit-glory,warm,3,200,37.6,37.7,1137
credit-glory,/api/lender/credit-glory,cold,1,200,41.9,42.1,253
credit-glory,/api/lender/credit-glory,warm,1,200,40.6,40.7,253
credit-glory,/api/lender/credit-glory,warm,2,200,35.7,35.8,253
credit-glory,/api/lender/credit-glory,warm,3,200,37.5,37.6,253
credit-saint,/r/credit-saint,cold,1,200,41.9,42.0,1137
credit-saint,/r/credit-saint,warm,1,200,42.1,42.2,1137
credit-saint,/r/credit-saint,warm,2,200,36.8,37.0,1137
credit-saint,/r/credit-saint,warm,3,200,40.5,40.6,1137
credit-saint,/api/lender/credit-saint,cold,1,200,39.1,39.1,253
credit-saint,/api/lender/credit-saint,warm,1,200,41.9,42.0,253
credit-saint,/api/lender/credit-saint,warm,2,200,43.3,43.8,253
credit-saint,/api/lender/credit-saint,warm,3,200,39.0,39.1,253
earnin,/r/earnin,cold,1,200,41.0,41.2,1096
earnin,/r/earnin,warm,1,200,43.1,43.3,1096
earnin,/r/earnin,warm,2,200,35.6,35.7,1096
earnin,/r/earnin,warm,3,200,33.9,34.1,1096
earnin,/api/lender/earnin,cold,1,200,37.4,37.4,236
earnin,/api/lender/earnin,warm,1,200,41.2,41.2,236
earnin,/api/lender/earnin,warm,2,200,36.6,36.7,236
earnin,/api/lender/earnin,warm,3,200,38.7,38.8,236
klarna,/r/klarna,cold,1,200,38.4,38.5,1094
klarna,/r/klarna,warm,1,200,40.3,40.4,1094
klarna,/r/klarna,warm,2,200,37.2,37.3,1094
klarna,/r/klarna,warm,3,200,37.4,37.7,1094
klarna,/api/lender/klarna,cold,1,200,41.0,41.1,233
klarna,/api/lender/klarna,warm,1,200,40.3,40.3,233
klarna,/api/lender/klarna,warm,2,200,37.4,37.5,233
klarna,/api/lender/klarna,warm,3,200,38.3,38.4,233
lendingclub,/r/lendingclub,cold,1,200,38.8,39.0,1124
lendingclub,/r/lendingclub,warm,1,200,38.7,38.8,1124
lendingclub,/r/lendingclub,warm,2,200,37.1,37.2,1124
lendingclub,/r/lendingclub,warm,3,200,36.0,36.2,1124
lendingclub,/api/lender/lendingclub,cold,1,200,39.9,40.0,243
lendingclub,/api/lender/lendingclub,warm,1,200,39.5,39.6,243
lendingclub,/api/lender/lendingclub,warm,2,200,36.6,36.7,243
lendingclub,/api/lender/lendingclub,warm,3,200,35.5,35.6,243
lexington-law,/r/lexington-law,cold,1,200,43.0,43.1,1144
lexington-law,/r/lexington-law,warm,1,200,42.2,42.4,1144
lexington-law,/r/lexington-law,warm,2,200,36.4,36.5,1144
lexington-law,/r/lexington-law,warm,3,200,37.7,37.8,1144
lexington-law,/api/lender/lexington-law,cold,1,200,42.0,42.1,255
lexington-law,/api/lender/lexington-law,warm,1,200,41.2,41.3,255
lexington-law,/api/lender/lexington-law,warm,2,200,36.4,36.4,255
lexington-law,/api/lender/lexington-law,warm,3,200,35.5,35.5,255
oportun,/r/oportun,cold,1,200,46.1,46.1,1103
oportun,/r/oportun,warm,1,200,37.4,37.4,1103
oportun,/r/oportun,warm,2,200,36.1,36.2,1103
oportun,/r/oportun,warm,3,200,35.2,35.3,1103
oportun,/api/lender/oportun,cold,1,200,37.1,37.2,239
oportun,/api/lender/oportun,warm,1,200,40.1,40.1,239
oportun,/api/lender/oportun,warm,2,200,37.2,37.3,239
oportun,/api/lender/oportun,warm,3,200,34.7,34.8,239
ovation-credit,/r/ovation-credit,cold,1,200,39.6,39.7,1151
