priority_score,tier,cluster,city,state,slug,url,title,words,review_links,browse_links,gsc_impressions,gsc_avg_position,current_has_form,current_quiz_link,primary_actions,rationale
43198.17,T1 - active GSC signal,California,Long Beach,CA,long-beach-ca,https://www.creditdoc.co/city/long-beach-ca/,"Credit Repair & Financial Services in Long Beach, CA (2026)",2807,31,3,42,4.29,False,True,Long Beach Credit Repair Quiz / Long Beach Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Long Beach | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
41031.23,T1 - active GSC signal,National,West New York,NJ,west-new-york-nj,https://www.creditdoc.co/city/west-new-york-nj/,"Credit Repair & Financial Services in West New York, NJ",1653,8,1,40,4.93,False,True,West New York Credit Repair Quiz / West New York Credit Calculator CTAs | email capture block wired to /api/email-signup | NJ regulator/contact module | Frequently asked questions in West New York | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
33014.17,T1 - active GSC signal,California,Vernon,CA,vernon-ca,https://www.creditdoc.co/city/vernon-ca/,"Credit Repair & Financial Services in Vernon, CA (2026)",1417,10,1,32,7,False,True,Vernon Credit Repair Quiz / Vernon Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in Vernon | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
28264.33,T1 - active GSC signal,National,Pittsburgh,PA,pittsburgh-pa,https://www.creditdoc.co/city/pittsburgh-pa/,"Credit Repair & Financial Services in Pittsburgh, PA (2026)",3533,42,4,27,5.7,False,True,Pittsburgh Credit Repair Quiz / Pittsburgh Credit Calculator CTAs | email capture block wired to /api/email-signup | PA regulator/contact module | Frequently asked questions in Pittsburgh | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
27178.96,T1 - active GSC signal,National,New Orleans,LA,new-orleans-la,https://www.creditdoc.co/city/new-orleans-la/,"Credit Repair & Financial Services in New Orleans, LA (2026)",3136,36,3,26,8.04,False,True,New Orleans Credit Repair Quiz / New Orleans Credit Calculator CTAs | email capture block wired to /api/email-signup | LA regulator/contact module | Frequently asked questions in New Orleans | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
26691.89,T1 - active GSC signal,California,San Jose,CA,san-jose-ca,https://www.creditdoc.co/city/san-jose-ca/,"Credit Repair & Financial Services in San Jose, CA (2026)",4779,57,6,26,76.69,False,True,San Jose Credit Repair Quiz / San Jose Credit Calculator CTAs | email capture block wired to /api/email-signup | CA regulator/contact module | Frequently asked questions in San Jose | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
18472.25,T2 - early GSC signal,National,Madison,TN,madison-tn,https://www.creditdoc.co/city/madison-tn/,"Credit Repair & Financial Services in Madison, TN (2026)",1995,18,1,18,64.17,False,True,Madison Credit Repair Quiz / Madison Credit Calculator CTAs | email capture block wired to /api/email-signup | TN regulator/contact module | Frequently asked questions in Madison | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
17079.19,T1 - active GSC signal,Georgia,Decatur,GA,decatur-ga,https://www.creditdoc.co/city/decatur-ga/,"Credit Repair & Financial Services in Decatur, GA (2026)",2209,23,1,16,5.19,False,True,Decatur Credit Repair Quiz / Decatur Credit Calculator CTAs | email capture block wired to /api/email-signup | GA regulator/contact module | Frequently asked questions in Decatur | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
16037.83,T1 - active GSC signal,Georgia,College Park,GA,college-park-ga,https://www.creditdoc.co/city/college-park-ga/,"Credit Repair & Financial Services in College Park, GA",1853,16,0,15,2.87,False,True,College Park Credit Repair Quiz / College Park Credit Calculator CTAs | email capture block wired to /api/email-signup | GA regulator/contact module | Frequently asked questions in College Park | links to strongest matching /browse/ category pages,"Already earning local impressions or near-page-one visibility; improve capture, local intent, and CTR first."
15662.79,T2 - early GSC signal,National,Midwest City,OK,midwest-city-ok,https://www.creditdoc.co/city/midwest-city-ok/,"Credit Repair & Financial Services in Midwest City, OK",1809,16,0,15,40.33,False,True,Midwest City Credit Repair Quiz / Midwest City Credit Calculator CTAs | email capture block wired to /api/email-signup | OK regulator/contact module | Frequently asked questions in Midwest City | links to strongest matching /browse/ category pages,Has some search visibility; strengthen local conversion and supporting city/category links.
