route_family,slug,url,title,h1,words,links,review_links,tool_links,answer_links,browse_links,has_form,borrowing_quiz_link,gsc_avg_position,gsc_clicks,gsc_impressions,gsc_ctr
browse_service_city,pawn-shops/san-diego-ca,https://www.creditdoc.co/browse/pawn-shops/san-diego-ca/,"Pawn Shops in San Diego, CA (2026) | CreditDoc","Pawn Shops Provider Profiles in San Diego, CA",2403,159,26,23,0,0,False,True,77.72,0,95,0
browse_service_city,pawn-shops/denver-co,https://www.creditdoc.co/browse/pawn-shops/denver-co/,"Pawn Shops in Denver, CO (2026) | CreditDoc","Pawn Shops Provider Profiles in Denver, CO",1741,150,18,23,0,0,False,True,65.63,0,51,0
browse_service_city,pawn-shops/phoenix-az,https://www.creditdoc.co/browse/pawn-shops/phoenix-az/,"Pawn Shops in Phoenix, AZ (2026) | CreditDoc","Pawn Shops Provider Profiles in Phoenix, AZ",2744,167,35,23,0,0,False,True,67.07,0,45,0
city,long-beach-ca,https://www.creditdoc.co/city/long-beach-ca/,"Credit Repair & Financial Services in Long Beach, CA (2026)",Credit Repair & Financial Services in Long Beach,2807,205,31,21,0,3,False,True,4.29,0,42,0
city,west-new-york-nj,https://www.creditdoc.co/city/west-new-york-nj/,"Credit Repair & Financial Services in West New York, NJ",Credit Repair & Financial Services in West New York,1653,178,8,21,0,1,False,True,4.93,0,40,0
city,vernon-ca,https://www.creditdoc.co/city/vernon-ca/,"Credit Repair & Financial Services in Vernon, CA (2026)",Credit Repair & Financial Services in Vernon,1417,170,10,21,0,1,False,True,7,0,32,0
city,pittsburgh-pa,https://www.creditdoc.co/city/pittsburgh-pa/,"Credit Repair & Financial Services in Pittsburgh, PA (2026)",Credit Repair & Financial Services in Pittsburgh,3533,223,42,21,0,4,False,True,5.7,0,27,0
city,new-orleans-la,https://www.creditdoc.co/city/new-orleans-la/,"Credit Repair & Financial Services in New Orleans, LA (2026)",Credit Repair & Financial Services in New Orleans,3136,211,36,21,0,3,False,True,8.04,0,26,0
city,san-jose-ca,https://www.creditdoc.co/city/san-jose-ca/,"Credit Repair & Financial Services in San Jose, CA (2026)",Credit Repair & Financial Services in San Jose,4779,241,57,21,0,6,False,True,76.69,0,26,0
city,madison-tn,https://www.creditdoc.co/city/madison-tn/,"Credit Repair & Financial Services in Madison, TN (2026)",Credit Repair & Financial Services in Madison,1995,186,18,21,0,1,False,True,64.17,0,18,0
city,decatur-ga,https://www.creditdoc.co/city/decatur-ga/,"Credit Repair & Financial Services in Decatur, GA (2026)",Credit Repair & Financial Services in Decatur,2209,191,23,21,0,1,False,True,5.19,0,16,0
city,college-park-ga,https://www.creditdoc.co/city/college-park-ga/,"Credit Repair & Financial Services in College Park, GA",Credit Repair & Financial Services in College Park,1853,182,16,21,0,0,False,True,2.87,0,15,0
city,midwest-city-ok,https://www.creditdoc.co/city/midwest-city-ok/,"Credit Repair & Financial Services in Midwest City, OK",Credit Repair & Financial Services in Midwest City,1809,182,16,21,0,0,False,True,40.33,0,15,0
city,rock-hill-sc,https://www.creditdoc.co/city/rock-hill-sc/,"Credit Repair & Financial Services in Rock Hill, SC (2026)",Credit Repair & Financial Services in Rock Hill,1808,181,13,21,0,1,False,True,76.79,0,14,0
city,bakersfield-ca,https://www.creditdoc.co/city/bakersfield-ca/,"Credit Repair & Financial Services in Bakersfield, CA (2026)",Credit Repair & Financial Services in Bakersfield,2656,203,31,21,0,3,False,True,3.31,0,13,0
city,santa-clara-ca,https://www.creditdoc.co/city/santa-clara-ca/,"Credit Repair & Financial Services in Santa Clara, CA (2026)",Credit Repair & Financial Services in Santa Clara,1855,183,13,21,0,0,False,True,8.5,0,10,0
city,bronx-ny,https://www.creditdoc.co/city/bronx-ny/,"Credit Repair & Financial Services in Bronx, NY (2026)",Credit Repair & Financial Services in Bronx,2229,192,21,21,0,1,False,True,14.4,0,10,0
city,seattle-wa,https://www.creditdoc.co/city/seattle-wa/,"Credit Repair & Financial Services in Seattle, WA (2026)",Credit Repair & Financial Services in Seattle,4308,238,52,21,0,8,False,True,4.22,0,9,0
city,los-angeles-ca,https://www.creditdoc.co/city/los-angeles-ca/,"Credit Repair & Financial Services in Los Angeles, CA (2026)",Credit Repair & Financial Services in Los Angeles,6337,274,81,21,0,12,False,True,6.13,0,8,0
city,marietta-ga,https://www.creditdoc.co/city/marietta-ga/,"Credit Repair & Financial Services in Marietta, GA (2026)",Credit Repair & Financial Services in Marietta,2124,190,19,21,0,1,False,True,35.38,0,8,0
city,grand-prairie-tx,https://www.creditdoc.co/city/grand-prairie-tx/,"Credit Repair & Financial Services in Grand Prairie, TX",Credit Repair & Financial Services in Grand Prairie,1997,185,18,21,0,1,False,True,3.71,0,7,0
city,edmond-ok,https://www.creditdoc.co/city/edmond-ok/,"Credit Repair & Financial Services in Edmond, OK (2026)",Credit Repair & Financial Services in Edmond,1608,177,14,21,0,0,False,True,24.29,0,7,0
city,arlington-tx,https://www.creditdoc.co/city/arlington-tx/,"Credit Repair & Financial Services in Arlington, TX (2026)",Credit Repair & Financial Services in Arlington,3245,215,36,21,0,4,False,True,3.33,0,6,0
city,warren-mi,https://www.creditdoc.co/city/warren-mi/,"Credit Repair & Financial Services in Warren, MI (2026)",Credit Repair & Financial Services in Warren,1733,182,14,21,0,0,False,True,3.33,0,6,0
