route_family,slug,url,title,h1,words,links,review_links,tool_links,answer_links,browse_links,has_form,borrowing_quiz_link
city,abbeville-la,https://www.creditdoc.co/city/abbeville-la/,"Credit Repair & Financial Services in Abbeville, LA (2026)",Credit Repair & Financial Services in Abbeville,1409,173,10,21,0,0,False,True
city,akron-oh,https://www.creditdoc.co/city/akron-oh/,"Credit Repair & Financial Services in Akron, OH (2026)",Credit Repair & Financial Services in Akron,1573,175,13,21,0,1,False,True
city,albuquerque-nm,https://www.creditdoc.co/city/albuquerque-nm/,"Credit Repair & Financial Services in Albuquerque, NM (2026)",Credit Repair & Financial Services in Albuquerque,3122,213,31,21,0,4,False,True
city,alexandria-la,https://www.creditdoc.co/city/alexandria-la/,"Credit Repair & Financial Services in Alexandria, LA (2026)",Credit Repair & Financial Services in Alexandria,1453,173,10,21,0,0,False,True
city,altoona-pa,https://www.creditdoc.co/city/altoona-pa/,"Credit Repair & Financial Services in Altoona, PA (2026)",Credit Repair & Financial Services in Altoona,1492,173,12,21,0,0,False,True
city,amarillo-tx,https://www.creditdoc.co/city/amarillo-tx/,"Credit Repair & Financial Services in Amarillo, TX (2026)",Credit Repair & Financial Services in Amarillo,1698,177,15,21,0,1,False,True
city,arlington-tx,https://www.creditdoc.co/city/arlington-tx/,"Credit Repair & Financial Services in Arlington, TX (2026)",Credit Repair & Financial Services in Arlington,3245,215,36,21,0,4,False,True
city,astoria-ny,https://www.creditdoc.co/city/astoria-ny/,"Credit Repair & Financial Services in Astoria, NY (2026)",Credit Repair & Financial Services in Astoria,1594,177,12,21,0,0,False,True
city,atlanta-ga,https://www.creditdoc.co/city/atlanta-ga/,"Credit Repair & Financial Services in Atlanta, GA (2026)",Credit Repair & Financial Services in Atlanta,5540,256,71,21,0,10,False,True
city,augusta-me,https://www.creditdoc.co/city/augusta-me/,"Credit Repair & Financial Services in Augusta, ME (2026)",Credit Repair & Financial Services in Augusta,1397,171,10,21,0,0,False,True
city,aurora-co,https://www.creditdoc.co/city/aurora-co/,"Credit Repair & Financial Services in Aurora, CO (2026)",Credit Repair & Financial Services in Aurora,2784,207,32,21,0,2,False,True
city,aurora-il,https://www.creditdoc.co/city/aurora-il/,"Credit Repair & Financial Services in Aurora, IL (2026)",Credit Repair & Financial Services in Aurora,1472,176,10,21,0,0,False,True
city,austin-tx,https://www.creditdoc.co/city/austin-tx/,"Credit Repair & Financial Services in Austin, TX (2026)",Credit Repair & Financial Services in Austin,5755,262,72,21,0,10,False,True
city,avondale-az,https://www.creditdoc.co/city/avondale-az/,"Credit Repair & Financial Services in Avondale, AZ (2026)",Credit Repair & Financial Services in Avondale,1538,175,8,21,0,0,False,True
city,bakersfield-ca,https://www.creditdoc.co/city/bakersfield-ca/,"Credit Repair & Financial Services in Bakersfield, CA (2026)",Credit Repair & Financial Services in Bakersfield,2656,203,31,21,0,3,False,True
city,baltimore-md,https://www.creditdoc.co/city/baltimore-md/,"Credit Repair & Financial Services in Baltimore, MD (2026)",Credit Repair & Financial Services in Baltimore,3704,226,44,21,0,5,False,True
city,bartlett-tn,https://www.creditdoc.co/city/bartlett-tn/,"Credit Repair & Financial Services in Bartlett, TN (2026)",Credit Repair & Financial Services in Bartlett,1853,184,17,21,0,1,False,True
city,baton-rouge-la,https://www.creditdoc.co/city/baton-rouge-la/,"Credit Repair & Financial Services in Baton Rouge, LA (2026)",Credit Repair & Financial Services in Baton Rouge,1962,184,18,21,0,1,False,True
city,beaverton-or,https://www.creditdoc.co/city/beaverton-or/,"Credit Repair & Financial Services in Beaverton, OR (2026)",Credit Repair & Financial Services in Beaverton,1428,175,10,21,0,0,False,True
city,bedford-tx,https://www.creditdoc.co/city/bedford-tx/,"Credit Repair & Financial Services in Bedford, TX (2026)",Credit Repair & Financial Services in Bedford,1436,173,10,21,0,0,False,True
city,bellingham-wa,https://www.creditdoc.co/city/bellingham-wa/,"Credit Repair & Financial Services in Bellingham, WA (2026)",Credit Repair & Financial Services in Bellingham,1425,173,10,21,0,0,False,True
city,bethlehem-pa,https://www.creditdoc.co/city/bethlehem-pa/,"Credit Repair & Financial Services in Bethlehem, PA (2026)",Credit Repair & Financial Services in Bethlehem,1490,175,10,21,0,0,False,True
city,beverly-hills-ca,https://www.creditdoc.co/city/beverly-hills-ca/,"Credit Repair & Financial Services in Beverly Hills, CA",Credit Repair & Financial Services in Beverly Hills,1986,183,16,21,0,1,False,True
city,birmingham-al,https://www.creditdoc.co/city/birmingham-al/,"Credit Repair & Financial Services in Birmingham, AL (2026)",Credit Repair & Financial Services in Birmingham,2176,189,22,21,0,3,False,True
city,boise-id,https://www.creditdoc.co/city/boise-id/,"Credit Repair & Financial Services in Boise, ID (2026)",Credit Repair & Financial Services in Boise,1742,179,12,21,0,0,False,True
city,boston-ma,https://www.creditdoc.co/city/boston-ma/,"Credit Repair & Financial Services in Boston, MA (2026)",Credit Repair & Financial Services in Boston,1695,179,14,21,0,0,False,True
city,bowling-green-ky,https://www.creditdoc.co/city/bowling-green-ky/,"Credit Repair & Financial Services in Bowling Green, KY",Credit Repair & Financial Services in Bowling Green,1472,175,8,21,0,0,False,True
city,brandon-fl,https://www.creditdoc.co/city/brandon-fl/,"Credit Repair & Financial Services in Brandon, FL (2026)",Credit Repair & Financial Services in Brandon,1827,181,11,21,0,1,False,True
city,bremerton-wa,https://www.creditdoc.co/city/bremerton-wa/,"Credit Repair & Financial Services in Bremerton, WA (2026)",Credit Repair & Financial Services in Bremerton,1445,175,6,21,0,0,False,True
city,bronx-ny,https://www.creditdoc.co/city/bronx-ny/,"Credit Repair & Financial Services in Bronx, NY (2026)",Credit Repair & Financial Services in Bronx,2229,192,21,21,0,1,False,True
city,brooklyn-ny,https://www.creditdoc.co/city/brooklyn-ny/,"Credit Repair & Financial Services in Brooklyn, NY (2026)",Credit Repair & Financial Services in Brooklyn,4948,246,64,21,0,7,False,True
city,buffalo-ny,https://www.creditdoc.co/city/buffalo-ny/,"Credit Repair & Financial Services in Buffalo, NY (2026)",Credit Repair & Financial Services in Buffalo,2059,188,21,21,0,0,False,True
city,burleson-tx,https://www.creditdoc.co/city/burleson-tx/,"Credit Repair & Financial Services in Burleson, TX (2026)",Credit Repair & Financial Services in Burleson,1396,173,8,21,0,0,False,True
city,butte-mt,https://www.creditdoc.co/city/butte-mt/,"Credit Repair & Financial Services in Butte, MT (2026)",Credit Repair & Financial Services in Butte,1585,175,10,21,0,0,False,True
city,camden-nj,https://www.creditdoc.co/city/camden-nj/,"Credit Repair & Financial Services in Camden, NJ (2026)",Credit Repair & Financial Services in Camden,1553,177,12,21,0,0,False,True
city,canton-oh,https://www.creditdoc.co/city/canton-oh/,"Credit Repair & Financial Services in Canton, OH (2026)",Credit Repair & Financial Services in Canton,1589,178,11,21,0,0,False,True
city,carrollton-tx,https://www.creditdoc.co/city/carrollton-tx/,"Credit Repair & Financial Services in Carrollton, TX (2026)",Credit Repair & Financial Services in Carrollton,1712,181,11,21,0,0,False,True
city,cedar-park-tx,https://www.creditdoc.co/city/cedar-park-tx/,"Credit Repair & Financial Services in Cedar Park, TX (2026)",Credit Repair & Financial Services in Cedar Park,1471,173,10,21,0,0,False,True
city,champaign-il,https://www.creditdoc.co/city/champaign-il/,"Credit Repair & Financial Services in Champaign, IL (2026)",Credit Repair & Financial Services in Champaign,1365,171,10,21,0,0,False,True
city,charlotte-nc,https://www.creditdoc.co/city/charlotte-nc/,"Credit Repair & Financial Services in Charlotte, NC (2026)",Credit Repair & Financial Services in Charlotte,5328,252,64,21,0,9,False,True
city,chattanooga-tn,https://www.creditdoc.co/city/chattanooga-tn/,"Credit Repair & Financial Services in Chattanooga, TN (2026)",Credit Repair & Financial Services in Chattanooga,1648,177,14,21,0,0,False,True
city,chesapeake-va,https://www.creditdoc.co/city/chesapeake-va/,"Credit Repair & Financial Services in Chesapeake, VA (2026)",Credit Repair & Financial Services in Chesapeake,1433,175,10,21,0,0,False,True
city,chicago-il,https://www.creditdoc.co/city/chicago-il/,"Credit Repair & Financial Services in Chicago, IL (2026)",Credit Repair & Financial Services in Chicago,6628,278,88,21,0,12,False,True
city,chula-vista-ca,https://www.creditdoc.co/city/chula-vista-ca/,"Credit Repair & Financial Services in Chula Vista, CA (2026)",Credit Repair & Financial Services in Chula Vista,2203,192,16,21,0,2,False,True
city,cincinnati-oh,https://www.creditdoc.co/city/cincinnati-oh/,"Credit Repair & Financial Services in Cincinnati, OH (2026)",Credit Repair & Financial Services in Cincinnati,3400,220,41,21,0,5,False,True
city,claymont-de,https://www.creditdoc.co/city/claymont-de/,"Credit Repair & Financial Services in Claymont, DE (2026)",Credit Repair & Financial Services in Claymont,1611,175,12,21,0,0,False,True
city,clearwater-fl,https://www.creditdoc.co/city/clearwater-fl/,"Credit Repair & Financial Services in Clearwater, FL (2026)",Credit Repair & Financial Services in Clearwater,1579,176,10,21,0,0,False,True
city,cleveland-heights-oh,https://www.creditdoc.co/city/cleveland-heights-oh/,"Credit Repair & Financial Services in Cleveland Heights, OH",Credit Repair & Financial Services in Cleveland Heights,1378,173,8,21,0,0,False,True
city,cleveland-oh,https://www.creditdoc.co/city/cleveland-oh/,"Credit Repair & Financial Services in Cleveland, OH (2026)",Credit Repair & Financial Services in Cleveland,3050,212,37,21,0,3,False,True
city,cleveland-tn,https://www.creditdoc.co/city/cleveland-tn/,"Credit Repair & Financial Services in Cleveland, TN (2026)",Credit Repair & Financial Services in Cleveland,1606,176,13,21,0,0,False,True
city,college-park-ga,https://www.creditdoc.co/city/college-park-ga/,"Credit Repair & Financial Services in College Park, GA",Credit Repair & Financial Services in College Park,1853,182,16,21,0,0,False,True
city,colorado-springs-co,https://www.creditdoc.co/city/colorado-springs-co/,"Credit Repair & Financial Services in Colorado Springs, CO",Credit Repair & Financial Services in Colorado Springs,3610,225,42,21,0,6,False,True
city,columbus-oh,https://www.creditdoc.co/city/columbus-oh/,"Credit Repair & Financial Services in Columbus, OH (2026)",Credit Repair & Financial Services in Columbus,5806,267,70,21,0,10,False,True
city,commerce-city-co,https://www.creditdoc.co/city/commerce-city-co/,"Credit Repair & Financial Services in Commerce City, CO",Credit Repair & Financial Services in Commerce City,1541,177,12,21,0,0,False,True
city,concord-nc,https://www.creditdoc.co/city/concord-nc/,"Credit Repair & Financial Services in Concord, NC (2026)",Credit Repair & Financial Services in Concord,1589,177,10,21,0,0,False,True
city,coral-gables-fl,https://www.creditdoc.co/city/coral-gables-fl/,"Credit Repair & Financial Services in Coral Gables, FL",Credit Repair & Financial Services in Coral Gables,2151,188,17,21,0,0,False,True
city,corpus-christi-tx,https://www.creditdoc.co/city/corpus-christi-tx/,"Credit Repair & Financial Services in Corpus Christi, TX",Credit Repair & Financial Services in Corpus Christi,1707,180,14,21,0,0,False,True
city,council-bluffs-ia,https://www.creditdoc.co/city/council-bluffs-ia/,"Credit Repair & Financial Services in Council Bluffs, IA",Credit Repair & Financial Services in Council Bluffs,1659,180,13,21,0,1,False,True
city,covington-ky,https://www.creditdoc.co/city/covington-ky/,"Credit Repair & Financial Services in Covington, KY (2026)",Credit Repair & Financial Services in Covington,1391,173,8,21,0,0,False,True
city,covington-la,https://www.creditdoc.co/city/covington-la/,"Credit Repair & Financial Services in Covington, LA (2026)",Credit Repair & Financial Services in Covington,1461,171,10,21,0,0,False,True
city,cullman-al,https://www.creditdoc.co/city/cullman-al/,"Credit Repair & Financial Services in Cullman, AL (2026)",Credit Repair & Financial Services in Cullman,1386,171,10,21,0,0,False,True
city,culver-city-ca,https://www.creditdoc.co/city/culver-city-ca/,"Credit Repair & Financial Services in Culver City, CA (2026)",Credit Repair & Financial Services in Culver City,1558,175,12,21,0,0,False,True
city,dallas-tx,https://www.creditdoc.co/city/dallas-tx/,"Credit Repair & Financial Services in Dallas, TX (2026)",Credit Repair & Financial Services in Dallas,5916,262,74,21,0,11,False,True
city,dayton-oh,https://www.creditdoc.co/city/dayton-oh/,"Credit Repair & Financial Services in Dayton, OH (2026)",Credit Repair & Financial Services in Dayton,1687,179,12,21,0,0,False,True
city,dearborn-heights-mi,https://www.creditdoc.co/city/dearborn-heights-mi/,"Credit Repair & Financial Services in Dearborn Heights, MI",Credit Repair & Financial Services in Dearborn Heights,1498,173,10,21,0,0,False,True
city,dearborn-mi,https://www.creditdoc.co/city/dearborn-mi/,"Credit Repair & Financial Services in Dearborn, MI (2026)",Credit Repair & Financial Services in Dearborn,1766,183,13,21,0,0,False,True
city,decatur-ga,https://www.creditdoc.co/city/decatur-ga/,"Credit Repair & Financial Services in Decatur, GA (2026)",Credit Repair & Financial Services in Decatur,2209,191,23,21,0,1,False,True
city,del-city-ok,https://www.creditdoc.co/city/del-city-ok/,"Credit Repair & Financial Services in Del City, OK (2026)",Credit Repair & Financial Services in Del City,1589,176,13,21,0,0,False,True
city,denver-co,https://www.creditdoc.co/city/denver-co/,"Credit Repair & Financial Services in Denver, CO (2026)",Credit Repair & Financial Services in Denver,5480,258,68,21,0,9,False,True
city,des-moines-ia,https://www.creditdoc.co/city/des-moines-ia/,"Credit Repair & Financial Services in Des Moines, IA (2026)",Credit Repair & Financial Services in Des Moines,1640,177,14,21,0,0,False,True
city,detroit-mi,https://www.creditdoc.co/city/detroit-mi/,"Credit Repair & Financial Services in Detroit, MI (2026)",Credit Repair & Financial Services in Detroit,4793,245,62,21,0,8,False,True
city,doral-fl,https://www.creditdoc.co/city/doral-fl/,"Credit Repair & Financial Services in Doral, FL (2026)",Credit Repair & Financial Services in Doral,1722,180,13,21,0,0,False,True
city,doraville-ga,https://www.creditdoc.co/city/doraville-ga/,"Credit Repair & Financial Services in Doraville, GA (2026)",Credit Repair & Financial Services in Doraville,1543,175,12,21,0,0,False,True
city,dublin-oh,https://www.creditdoc.co/city/dublin-oh/,"Credit Repair & Financial Services in Dublin, OH (2026)",Credit Repair & Financial Services in Dublin,1508,173,10,21,0,0,False,True
